xanthan,rpm_val,aer_val,placement,n_frames,n_bubbles,epsilon_obs_lower,epsilon_obs_mid,epsilon_obs_upper,a_obs_m2_m3_lower,a_obs_m2_m3_mid,a_obs_m2_m3_upper,mean_diameter_mm,a_specific_m2_m3,a_L_m2_m3
000 xanthan,150.0,45.0,placement_2,982.0,42163.0,0.01940766512589653,0.022700902601938702,0.025994140126518732,38.286634996563194,42.493773306867894,46.70091161660407,1.0795320712456327,1793.1564013013758,47.047661585028656
000 xanthan,150.0,45.0,placement_3,973.0,31200.0,0.026101923496749356,0.030037595016235145,0.03397326652195011,49.46313585507946,54.530626665268,59.59811736873269,1.5141053669760107,1759.7625945634936,60.572832326630135
000 xanthan,150.0,45.0,placement_4,982.0,44810.0,0.008191429111722203,0.009635340738139354,0.011079252364698639,26.28335743271956,28.96403537030282,31.644713230850886,0.9436232490621925,2836.783976491434,31.251665840353773
000 xanthan,150.0,45.0,placement_5,979.0,44774.0,0.018753598022139394,0.021693294727939103,0.024632991426895602,46.564959410017,51.304146347996884,56.04333337836012,1.2742036483818742,2274.8834856614653,56.28912980600985
000 xanthan,150.0,45.0,placement_6,982.0,41847.0,0.01869624861689041,0.021827541537506788,0.024958834468925148,46.736982564709386,51.74700854052753,56.75703444812262,1.329558989423887,2277.180541888027,57.02962119835354
000 xanthan,150.0,55.0,placement_1,979.0,55927.0,0.004002446318684315,0.004556396885074778,0.005110347408944666,11.282527442993038,12.082315101483935,12.88210276981195,0.522246656843829,2552.4554784418838,12.49108426669585
000 xanthan,150.0,55.0,placement_2,982.0,42486.0,0.01905424827159872,0.022422149446121992,0.025790050578574385,37.46926118644205,41.77514932029436,46.08103743822796,1.058732509023707,1784.8395799396133,46.40749677620755
000 xanthan,150.0,55.0,placement_3,914.0,25029.0,0.02527772277943071,0.02909518060865136,0.032912638530869766,45.709549479697465,50.48516296780407,55.26077634290848,1.5621220627097672,1686.4450231555281,56.09292932424022
000 xanthan,150.0,55.0,placement_4,976.0,44322.0,0.01100901387660737,0.012818019285706174,0.014627024703027772,31.266087412845373,34.409154149619766,37.55222088239002,1.0197766990792538,2558.2506775436404,37.253091083110455
000 xanthan,150.0,55.0,placement_5,982.0,43292.0,0.020227210995952226,0.023482075290965104,0.026736939619947372,48.54567812676589,53.59744801726716,58.64921780060139,1.3271958898102039,2194.564715868249,59.062910467164244
000 xanthan,150.0,55.0,placement_6,965.0,39548.0,0.02051145305356643,0.023684995532682412,0.02685853802799754,48.314757139390494,53.26716805987656,58.219578963584944,1.3781793952824886,2168.2520194380595,58.63102854002663
000 xanthan,150.0,70.0,placement_1,982.0,62462.0,0.0036115078196200987,0.004133665926931926,0.004655824034830046,11.172216634555785,11.927674263769857,12.683131913948305,0.5024055542618905,2682.656921720496,12.310342201425478
000 xanthan,150.0,70.0,placement_2,979.0,44038.0,0.021283205842171412,0.024626317818367327,0.027969429825464617,38.76722968095951,42.904020594466374,47.040811585244484,1.0505323041099515,1682.2238315108364,47.39942805216869
000 xanthan,150.0,70.0,placement_3,879.0,26657.0,0.026744232456986417,0.03043151255328526,0.03411879266570089,47.10934852303391,51.656917317715234,56.20448617273528,1.4991360151626034,1657.595873278759,57.00012402755677
000 xanthan,150.0,70.0,placement_4,969.0,47081.0,0.011799062853574986,0.013619189647862783,0.015439316434948672,34.06404536705426,37.30125324140112,40.53846106274193,1.0459241494256237,2617.3708965368187,40.172844454459835
000 xanthan,150.0,70.0,placement_5,968.0,37280.0,0.023358686975870943,0.026995549192808874,0.030632411269452882,49.540169833595115,54.680229329043016,59.82028861859193,1.4085637388588577,1956.0121082119413,60.47880289016219
000 xanthan,150.0,70.0,placement_6,914.0,28663.0,0.027177556845142656,0.03135583813958263,0.03553411941737768,50.24614776945577,55.591279088754646,60.93641057175402,1.5465398629020632,1721.296386098232,61.99884176570757
000 xanthan,150.0,80.0,placement_1,982.0,64499.0,0.002459155455960004,0.002863867629442636,0.0032685797884611824,11.326816894250996,12.087711705676524,12.848606465934765,0.5222493256369724,3882.908952128181,12.4014433957628
000 xanthan,150.0,80.0,placement_2,978.0,41168.0,0.023060982654247057,0.026601530752723868,0.03014207890220262,40.56019137144872,44.77922958292526,48.99826776022212,1.105112818803814,1627.8390917887677,49.4666076818801
000 xanthan,150.0,80.0,placement_3,891.0,26683.0,0.028868443449165032,0.032826316356970656,0.03678418918692243,46.915356148080505,51.411627314068255,55.90789862793132,1.4660997976393457,1527.7817444230566,56.88964836661864
000 xanthan,150.0,80.0,placement_4,968.0,44955.0,0.013545645973514913,0.015455068074096818,0.017364490270490963,33.3116391179193,36.33857824095764,39.36551735246102,1.0198699002065292,2269.7808765355844,39.07907422619469
000 xanthan,150.0,80.0,placement_5,898.0,29393.0,0.026096601079429585,0.02992494595323059,0.033753290721050155,49.23882324232354,54.153741041715165,59.068658864887034,1.5123587336503854,1759.1846289751634,59.805810736707066
000 xanthan,150.0,80.0,placement_6,919.0,31353.0,0.025381129507594736,0.029350474615508274,0.03331981974726616,50.23957464862484,55.51698772334862,60.7944008053624,1.5020259559240754,1835.644204744061,61.69440451853437
000 xanthan,150.0,90.0,placement_1,982.0,66620.0,0.0027383680162220065,0.003108346533699719,0.003478325058403923,11.051107167247169,11.729350897616632,12.407594602082655,0.5085994105708139,3508.613078918558,11.966849774234731
000 xanthan,150.0,90.0,placement_2,974.0,43054.0,0.023857065138578003,0.027267932462513668,0.030678799677972175,41.967602335979244,46.09967890075406,50.2317554744134,1.1083759183801496,1638.1130784675754,50.682293790778644
000 xanthan,150.0,90.0,placement_3,936.0,28026.0,0.027128333360384723,0.030891254133009874,0.03465417486939973,44.12435927994669,48.43335188476685,52.74234459784554,1.4048111392601712,1533.488312742756,53.426175621747255
000 xanthan,150.0,90.0,placement_4,969.0,41560.0,0.014735931081371946,0.016905594600073796,0.0190752580608723,33.00484061702892,36.18481454336064,39.36478857728888,1.0363675382913622,2074.1756730435973,39.1588115174127
000 xanthan,150.0,90.0,placement_5,945.0,33121.0,0.02651378213387995,0.03046007992256236,0.0344063775789089,50.23108841535161,55.34343543534791,60.45578246893226,1.4619575096959407,1762.3261118187281,61.35526703962962
000 xanthan,150.0,90.0,placement_6,915.0,28797.0,0.02776349635036017,0.03180040786008021,0.03583731943215049,49.20076476911459,54.21902042842218,59.237276020307625,1.506543638843744,1662.4239746863211,60.255257627862
0125 xanthan,75.0,45.0,placement_1,999.0,94196.0,0.002581520736250723,0.0028102674326295884,0.003039014125969157,9.234859531216657,9.664885312032274,10.094911106279957,0.3420704775603582,3318.871709749568,9.738777849508498
0125 xanthan,75.0,45.0,placement_2,995.0,35121.0,0.0026280198003804595,0.0029186681955733276,0.0032093166087850122,5.217484431415947,5.527571708545011,5.837658988777646,0.37479593756084056,1825.7006814315107,5.6872560955616125
0125 xanthan,75.0,45.0,placement_3,980.0,34049.0,0.003789664242917956,0.0041160227210716065,0.004442381158632372,6.079604758269894,6.413174650173151,6.746744583022565,0.3968815558128505,1511.977594606276,6.594575393164632
0125 xanthan,75.0,45.0,placement_4,990.0,120484.0,0.0048228519278201995,0.005300005093182724,0.005777158267215691,16.21770061034527,17.03767955359796,17.857658451736157,0.40741384860800617,3066.4906145256846,17.21655764232409
0125 xanthan,75.0,45.0,placement_5,989.0,87759.0,0.004203236546777009,0.004616254919937159,0.00502927326037607,13.778751913245053,14.43449906679554,15.09024621171974,0.4319565162761056,2980.390557559508,14.633551624934958
0125 xanthan,75.0,45.0,placement_6,991.0,540546.0,0.006009424306095518,0.006532700718339574,0.007055977142801549,43.44841021093345,45.93523739608329,48.42206461700662,0.3562582071225285,6875.723369393387,44.407574958766084
